Id;Frequência Meta (Hz);Frequência (Hz);Tensão Entrada (V);Tensão Saída (V);Fase Entrada (º);Fase Saída (º);Ganho;Inc, Tensão Entrada (V);Inc, Tensão Saída (V);Inc, Frequência (Hz);Inc, Ganho;Defasagem (°);Inc, Fase (°)
0;10,0;10,4;1,12;0,0368;-87,5;84,5;0,0329;0,01;0,0001;0,1;0,004906455216396452;172,0;2,0
1;20,0;20,0;1,12;0,07;-82,2;82,9;0,0625;0,01;0,0001;0,1;0,009042134929408687;165,10000000000002;2,0
2;40,0;40,3;1,16;0,136;-79,3;79,5;0,117;0,01;0,001;0,1;0,021254604491323978;158,8;2,0
3;80,0;81,7;1,12;0,28;-74,9;74,4;0,25;0,01;0,001;0,1;0,0384654629081036;149,3;2,0
4;160,0;156,0;1,12;0,46;-58,2;59,2;0,411;0,01;0,001;1,0;0,060387561986297265;117,4;2,0
5;320,0;321,0;1,12;0,7;-35,0;36,3;0,625;0,01;0,001;1,0;0,09042134929408685;71,3;2,0
6;640,0;638,0;1,12;0,86;-12,4;12,8;0,768;0,01;0,001;1,0;0,11062019890070401;25,200000000000003;2,0
7;1280,0;1290,0;1,12;0,9;9,2;-9,7;0,804;0,01;0,001;10,0;0,11568139222215319;-18,9;2,0
8;2560,0;2650,0;1,16;0,8;30,9;-29,2;0,69;0,01;0,001;10,0;0,09611964965816583;-60,099999999999994;2,0
9;5120,0;5190,0;1,16;0,56;55,6;-52,5;0,483;0,01;0,001;10,0;0,06800096325122867;-108,1;2,0
10;10200,0;10300,0;1,16;0,3;67,5;-67,2;0,259;0,01;0,001;100,0;0,03824563232908371;-134,7;2,0
11;20500,0;20200,0;1,16;0,176;78,6;-77,2;0,152;0,01;0,001;100,0;0,025064089657560806;-155,8;2,0
12;41000,0;41000,0;1,16;0,092;83,1;-81,0;0,0793;0,01;0,0001;100,0;0,011025971542242118;-164,1;2,0
13;81900,0;81700,0;1,16;0,046;85,3;-87,5;0,0397;0,01;0,0001;100,0;0,005640911706727429;-172,8;2,0
14;164000,0;163000,0;1,16;0,0232;86,9;-88,8;0,02;0,01;0,0001;1000,0;0,003084231693103159;-175,7;2,0
15;328000,0;327000,0;1,16;0,0132;84,9;-86,2;0,0114;0,01;0,0001;1000,0;0,002089501320950183;-171,10000000000002;2,0
16;655000,0;658000,0;1,2;0,0064;90,4;;0,00533;0,01;1e-05;1000,0;0,0007235031376044316;;2,0
17;1310000,0;1300000,0;1,28;0,004;;;0,00313;0,01;1e-05;10000,0;0,000410137648387709;;2,0
18;2620000,0;2620000,0;1,2;0,0036;;;0,003;0,01;1e-05;10000,0;0,00042163702135578394;;2,0
